Geometry;gentid;naam;historiek;straat;huisnr;postcode;gemeente;jaargang;soort;globalid;geo_point_2d
"{""coordinates"": [3.72532773501564, 51.041874913027776], ""type"": ""Point""}";FILM29;Leopold;Du Parc / Leopold;Sint-Pietersplein;46;9000;Gent;1919-1981;CENTRUM;e8ee7e7c-247c-4f6d-a598-635bcbd8df7f;51.041874913,3.72532773502
"{""coordinates"": [3.722062453280961, 51.0531645049032], ""type"": ""Point""}";FILM31;Majestic;Théâtre Pathé / Majestic;Veldstraat;34;9000;Gent;1911-1985;CENTRUM;02adeb59-b443-4029-9a1b-9dba898eeb36;51.0531645049,3.72206245328
"{""coordinates"": [3.726927216820053, 51.03702050089284], ""type"": ""Point""}";FILM32;Metro;Vier Winden / Astrid Palace / Movy / Metro;Ottergemsesteenweg;2;9000;Gent;1906-1981;WIJK;450645fe-2b40-443d-a4d2-4712acd67402;51.0370205009,3.72692721682
"{""coordinates"": [3.727320730118472, 51.04835384186143], ""type"": ""Point""}";FILM37;Nieuwe Cirk;Nieuwe Cirk;Sint-Pietersnieuwstraat;11;9000;Gent;1896-1945;CENTRUM;9becf3de-211c-45a9-b9cc-aa7b5bf6ab2d;51.0483538419,3.72732073012
"{""coordinates"": [3.741659892008496, 51.056442736297726], ""type"": ""Point""}";FILM39;Normandie;Normandie / Paris;Dendermondsesteenweg;18;9000;Gent;1952-2013;WIJK;c3002e6e-e332-454d-8acf-c2e50a238c63;51.0564427363,3.74165989201
"{""coordinates"": [3.753154419075422, 51.07379097573849], ""type"": ""Point""}";FILM40;Nova;Nova;Sint-Bernadettestraat;407;9040;Sint-Amandsberg;1936-1963;WIJK;ade6bcdf-bcb7-477e-b1f4-fe6f07fd62ba;51.0737909757,3.75315441908
"{""coordinates"": [3.743428374765617, 51.058572598505954], ""type"": ""Point""}";FILM42;Odeon;Du Parc II / Odeon;Antwerpsesteenweg;55;9000;Gent;1913-1963;WIJK;e0645928-6d09-4b5d-b46b-244d85784e29;51.0585725985,3.74342837477
"{""coordinates"": [3.678033265174968, 51.07247892999468], ""type"": ""Point""}";FILM46;Prado;Prado;Elf Novemberstraat;0;9000;Gent;1956-1966;WIJK;a6d71a97-ac78-489e-9b9a-1f968f3b389c;51.07247893,3.67803326517
"{""coordinates"": [3.755684576175429, 51.03384806718047], ""type"": ""Point""}";FILM50;Ritz;Ritz;Brusselsesteenweg;0;9000;Gent;jaren 1950-1970;WIJK;3b77d0d2-fc87-466b-9fb6-c58fed45ae0c;51.0338480672,3.75568457618
"{""coordinates"": [3.708293595832226, 51.06776947529981], ""type"": ""Point""}";FILM53;Salon;Salon;Frans van Ryhovenlaan;10;9000;Gent;1910-1923;WIJK;84af9c1c-1376-4cf4-b3b8-b6e84b36a18a;51.0677694753,3.70829359583
