entiteitnummer;haltenummer;omschrijving;omschrijvingLang;gemeentenummer;omschrijvingGemeente;districtCode;geoCoordinaat;halteToegankelijkheden;hoofdHalte;taal;links;latitude;longitude;locatie
2;203012;Vierwegen;Wondelgem Vierwegen;-1;Wondelgem;WON;"{""latitude"": 51.09148348583951, ""longitude"": 3.7161698026430265}";MOTORISCH_MET_ASSIST;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/203012""}]";51.09148348583951;3.7161698026430265;51.09148348583951,3.7161698026430265
2;203014;Liefkensstraat;Wondelgem Liefkensstraat;-1;Wondelgem;WON;"{""latitude"": 51.0986453221736, ""longitude"": 3.712472285640222}";MOTORISCH_MET_ASSIST;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/203014""}]";51.0986453221736;3.712472285640222;51.0986453221736,3.712472285640222
2;203143;Eisenhowerlaan;Oostakker Eisenhowerlaan;-1;Oostakker;OAK;"{""latitude"": 51.08285616397355, ""longitude"": 3.7925856055749843}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/203143""}]";51.08285616397355;3.7925856055749843;51.08285616397355,3.7925856055749843
2;203191;Drie Sleutels;Sint-Denijs-Westrem Drie Sleutels;-1;Sint-Denijs-Westrem;SDW;"{""latitude"": 51.017539617394206, ""longitude"": 3.6649664969686833}";"MOTORISCHE_BEPERKING;MOTORISCH_MET_ASSIST";;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/203191""}]";51.017539617394206;3.6649664969686833;51.017539617394206,3.6649664969686833
2;203362;Industrieweg;Mariakerke Industrieweg;-1;Mariakerke;MAR;"{""latitude"": 51.08529404155147, ""longitude"": 3.663748026844914}";"MOTORISCH_MET_ASSIST;MOTORISCHE_BEPERKING";;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/203362""}]";51.08529404155147;3.663748026844914;51.08529404155147,3.663748026844914
2;203397;Wulverdam;Oostakker Wulverdam;-1;Oostakker;OAK;"{""latitude"": 51.09941373425238, ""longitude"": 3.770824229682288}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/203397""}]";51.09941373425238;3.770824229682288;51.09941373425238,3.770824229682288
2;203407;Passagierstraat;Gent Passagierstraat;-1;Gent;GNT;"{""latitude"": 51.09949218026444, ""longitude"": 3.729192647105625}";"MOTORISCH_MET_ASSIST;MOTORISCHE_BEPERKING";;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/203407""}]";51.09949218026444;3.729192647105625;51.09949218026444,3.729192647105625
2;203548;Lourdes;Oostakker Lourdes;-1;Oostakker;OAK;"{""latitude"": 51.08210239124783, ""longitude"": 3.7588576305576917}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/203548""}]";51.08210239124783;3.7588576305576917;51.08210239124783,3.7588576305576917
2;203550;Drie Zwaantjesstraat;Oostakker Drie Zwaantjesstraat;-1;Oostakker;OAK;"{""latitude"": 51.09160149850948, ""longitude"": 3.7583912898037886}";"VISUELE_BEPERKING;MOTORISCH_MET_ASSIST;MOTORISCHE_BEPERKING";;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/203550""}]";51.09160149850948;3.7583912898037886;51.09160149850948,3.7583912898037886
2;203557;Edugo;Oostakker Edugo;-1;Oostakker;OAK;"{""latitude"": 51.08487196854158, ""longitude"": 3.7677987158767734}";"MOTORISCH_MET_ASSIST;VISUELE_BEPERKING;MOTORISCHE_BEPERKING";;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/203557""}]";51.08487196854158;3.7677987158767734;51.08487196854158,3.7677987158767734
